riskhater_wealth,riskhater_creturns,naive_wealth,naive_creturns,markowitzsavvy1_wealth,markowitzsavvy1_creturns,markowitzsavvy2_wealth,markowitzsavvy2_creturns,markowitzsavvy3_wealth,markowitzsavvy3_creturns
1.09449,0.0944854,3.35578,2.35578,1.52671,0.526709,4.80752,3.80752,3.95825e-08,-1
1.09465,0.0946487,3.38179,2.38179,1.52532,0.525317,4.77917,3.77917,3.71285e-08,-1
1.09481,0.0948073,3.38788,2.38788,1.52601,0.526005,4.78817,3.78817,3.77966e-08,-1
1.09497,0.0949681,3.37141,2.37141,1.52474,0.524742,4.76233,3.76233,3.56501e-08,-1
1.09513,0.0951277,3.33245,2.33245,1.52743,0.527427,4.80673,3.80673,3.90155e-08,-1
1.09529,0.0952864,3.33049,2.33049,1.52459,0.524586,4.75269,3.75269,3.44592e-08,-1
1.09545,0.0954485,3.30154,2.30154,1.52429,0.524291,4.74416,3.74416,3.3776e-08,-1
1.09561,0.0956082,3.2902,2.2902,1.52071,0.520705,4.67751,3.67751,2.8857e-08,-1
1.09577,0.095767,3.32751,2.32751,1.52551,0.52551,4.75825,3.75825,3.39332e-08,-1
1.09593,0.0959279,3.33121,2.33121,1.52535,0.525346,4.75206,3.75206,3.34338e-08,-1
1.09609,0.0960863,3.33811,2.33811,1.52219,0.522189,4.69303,3.69303,2.91244e-08,-1
1.09625,0.0962507,3.37496,2.37496,1.5268,0.526797,4.77078,3.77078,3.40435e-08,-1
1.09641,0.0964133,3.40212,2.40212,1.52488,0.524881,4.73335,3.73335,3.12516e-08,-1
1.09658,0.0965781,3.40151,2.40151,1.52626,0.526263,4.75447,3.75447,3.26417e-08,-1
1.09675,0.0967467,3.36257,2.36257,1.5274,0.5274,4.77131,3.77131,3.37844e-08,-1
1.09692,0.0969195,3.35461,2.35461,1.52584,0.52584,4.73973,3.73973,3.14328e-08,-1
1.09709,0.0970928,3.36407,2.36407,1.5261,0.526096,4.74075,3.74075,3.14562e-08,-1
1.09726,0.0972639,3.38649,2.38649,1.5275,0.527501,4.76228,3.76228,3.28811e-08,-1
1.09743,0.0974343,3.43407,2.43407,1.53171,0.531709,4.83402,3.83402,3.79299e-08,-1
1.0976,0.0975993,3.47824,2.47824,1.53741,0.53741,4.9333,3.9333,4.58841e-08,-1
1.09776,0.09776,3.4477,2.4477,1.53735,0.537348,4.92878,3.92878,4.539e-08,-1
1.09792,0.0979238,3.45559,2.45559,1.54266,0.542656,5.02234,4.02234,5.41817e-08,-1
1.09809,0.0980867,3.4621,2.4621,1.54369,0.543693,5.03809,4.03809,5.58527e-08,-1
1.09825,0.0982492,3.47656,2.47656,1.54162,0.541624,4.99612,3.99612,5.09956e-08,-1
1.09841,0.0984097,3.42872,2.42872,1.53259,0.532593,4.82633,3.82633,3.31262e-08,-1
1.09857,0.0985744,3.43388,2.43388,1.52815,0.52815,4.74309,3.74309,2.72083e-08,-1
1.09874,0.0987386,3.44982,2.44982,1.53195,0.531953,4.80708,3.80708,3.09432e-08,-1
1.0989,0.0989038,3.4444,2.4444,1.53515,0.535149,4.86093,3.86093,3.44631e-08,-1
1.09907,0.099071,3.46579,2.46579,1.5419,0.541896,4.97959,3.97959,4.30646e-08,-1
1.09924,0.0992362,3.43505,2.43505,1.54377,0.543773,5.01066,4.01066,4.57667e-08,-1
1.09941,0.0994078,3.48953,2.48953,1.54905,0.549054,5.10535,4.10535,5.45999e-08,-1
1.09958,0.0995772,3.49721,2.49721,1.5471,0.547103,5.06478,4.06478,5.00588e-08,-1
1.09975,0.0997471,3.47336,2.47336,1.54805,0.548049,5.07883,4.07883,5.1415e-08,-1
1.09992,0.0999204,3.39127,2.39127,1.54353,0.543527,4.98975,3.98975,4.20582e-08,-1
